@copyright 新媒体搜索引擎: https://www.sougood.top
-----------------------------------------------
词语	词频	词性
挂	147	动词
引用	147	动词
停止	147	动词
优先	147	动词
版	147	名词
开会	147	动词
情境	147	名词
权利	146	名词
转移	146	动词
四	146	数词
拥抱	146	动词
收	146	动词
接纳	146	动词
这套	146	代词
这套	146	量词
卡	146	名词
终身	146	副词
诗文	146	名词
小学	146	名词
大幅	146	副词
过往	146	时间词
品味	146	名词
纪录片	146	名词
律师	145	名词
人数	145	名词
这方面	145	数量词
一线	145	数词
考	145	动词
产出	145	动词
晚	145	时间词
杂志	145	名词
餐厅	145	名词
关联	145	名词
破产	145	动词
最优	145	副词
到来	144	副词
手里	144	处所词
出门	144	动词
聊聊	144	动词
详细	144	形容词
可靠	144	动词
菜头	144	名词
运行	144	动词
股份	144	名词
辛苦	143	形容词
谈论	143	动词
假	143	名词
这笔	143	代词
低估	143	动词
度过	143	动词
几十年	143	数词
供	143	动词
穿越	143	动词
奇谭	143	成语
外面	142	方位词
转发	142	动词
投机	142	名词
仿佛	142	副词
同行	142	简称略语
碰到	142	动词
中有	142	方位词
中有	142	动词
打电话	142	习用语
两次	142	数词
求	142	动词
再也	142	副词
关键词	142	名词
总有	142	区别词
总有	142	动词
更高	142	副词
更高	142	形容词
相	142	动词
指导	142	名词
债务	142	名词
职业生涯	141	名词
材料	141	名词
扔	141	动词
没用	141	动词
赌	141	状态词
停留	141	动词
男	141	名词
e	141	字符串
正好	141	形容词
层次	141	数词
生气	141	名词
隋	141	名词
房	140	名词
拿出	140	动词
上市公司	140	名词
逃避	140	动词
谈到	140	动词
英文	140	名词
很多年	140	数词
师	140	名词
链	140	名词
本金	140	名词
审视	140	动词
补充	140	动词
窦文涛	140	名词
书房	139	名词
youtube	139	英文
高级	139	区别词
唱	139	动词
幻想	139	名词
短视频	139	字符串
挣	139	动词
竞争力	139	名词
走出	139	动词
老年人	139	名词
两位	139	数词
球	139	名词
儿童	138	名词
被迫	138	副词
爆发	138	动词
神奇	138	形容词
果	138	名词
门槛	138	名词
网	138	名词
原	138	名词
留在	138	动词
小时候	138	名词
高中	138	处所词
实盘	138	名词
欣赏	138	动词
公	138	名词
留	137	动词
那一刻	137	代词
丢	137	状态词
在我看来	137	习用语
后台	137	名词
订阅	137	动词
end	137	英文
物	137	状态词
中文	137	名词
真理	137	名词
万美元	137	数词
模仿	137	动词
流动性	137	名词
氛围	137	名词
选手	137	动词
幸福感	137	名词
智能	137	名词
失眠	137	动词
成年人	136	名词
保留	136	动词
设备	136	动词
回头	136	动词
探讨	136	动词
集体	136	名词
英国	136	名词
好看	136	动词
碎片	135	名词
心理学家	135	名词
卖掉	135	动词
年纪	135	时间词
云	135	名词
崇旭	135	名词
辞职	135	动词
大卫	135	名词
工	135	名词
完善	135	动词
贷款	135	名词
班	135	名词
忘	134	动词
每日	134	代词
看不见	134	动词
一是	134	数词
一是	134	动词
形象	134	名词
心灵	134	名词
形容	134	名词
电视剧	134	名词
西	133	方位词
意愿	133	名词
半	133	数词
巨头	133	名词
筛选	133	动词
房地产	133	简称略语
区块	133	名词
零	132	数词
利率	132	名词
授权	132	动词
释放	132	动词
称之为	132	动词
期望值	132	名词
系	132	动词
门	132	名词
癌症	132	名词
忽视	132	动词
不幸	132	形容词
会员	132	名词
价	132	名词
海外	132	处所词
养成	132	动词
疾病	132	名词
这项	132	代词
李彦宏	132	名词
智力	131	名词
引导	131	动词
第三个	131	数词
练	131	动词
高考	131	动词
开启	131	动词
远离	131	动词
执着	131	动词
模糊	131	形容词
al	131	英文
主观	131	名词
程序员	131	名词
灵感	131	形容词
干扰	130	动词
灵魂	130	名词
之上	130	方位词
在家	130	代词
脑子	130	名词
障碍	130	名词
天生	130	名词
维护	130	动词
冷静	130	形容词
沃伦	130	名词
阿北	130	名词
承诺	129	动词
不算	129	动词
谨慎	129	形容词
食物	129	名词
佛教	129	名词
赢得	129	动词
协议	129	名词
长远	129	副词
失望	129	动词
改进	129	动词
一层	129	数词
综艺	129	名词
yc	129	英文
okr	129	英文
病	129	名词
类比	128	动词
节点	128	名词
猜	128	动词
潜在	128	时间词
推广	128	动词
流	128	名词
这会	128	代词
这会	128	动词
冲动	128	动词
转型	128	名词
打击	128	动词
访谈	128	动词
愚蠢	128	形容词
头条	128	名词
研发	128	简称略语
退出	128	动词
输	128	动词
切换	127	动词
分类	127	名词
称	127	动词
支付宝	127	名词
仓位	127	名词
黄	127	形容词
星巴克	127	名词
梁宁	127	名词
白	127	形容词
层	127	量词
最低	126	形容词
后果	126	名词
页面	126	名词
好事	126	名词
战胜	126	名词
竞争对手	126	名词
make	126	英文
精英	126	名词
多种	126	数词
跳槽	126	名词
综合	126	动词
转化	126	动词
驾驶	126	动词
束缚	126	动词
张颂文	126	名词
严肃	125	形容词
记	125	名词
混乱	125	形容词
推送	125	动词
截图	125	动词
自律	125	名词
统一	125	动词
流动	125	动词
年初	124	时间词
地区	124	名词
风	124	名词
帮忙	124	动词
眼中	124	处所词
不让	124	动词
极致	124	副词
内向	124	名词
性别	124	名词
诗	124	名词
运转	124	动词
骑手	124	名词
图源	124	名词
新冠	124	名词
论文	123	名词
电子	123	名词
诱惑	123	动词
电视	123	名词
管理层	123	名词
气	123	名词
一代	123	数词
诞生	123	动词
任何人	123	代词
d	123	字符串
犯错	123	动词
犯	123	动词
抓	123	动词
设计模式	123	名词
负债	123	名词
罗辑	123	名词
福寿园	123	名词
满	122	形容词
额外	122	区别词
陌生	122	名词
这条	122	代词
这条	122	名词
舞台	122	名词
打工	122	动词
每月	122	代词
候	122	动词
可口可乐	122	成语
红利	122	名词
拓展	122	动词
超出	122	动词
频道	122	名词
沉浸	122	动词
地图	122	名词
步骤	122	名词
一款	122	数词
勇敢	122	形容词
氪	122	语素
小朋友	122	名词
时机	121	名词
包	121	动词
旁边	121	方位词
停	121	动词
结局	121	名词
偏见	121	动词
学者	121	名词
富有	121	动词
轻易	121	形容词
一个个	121	数词
交换	121	动词
崩溃	121	动词
翻	121	动词
韩聪	121	名词
喝酒	120	动词
老公	120	名词
展现	120	动词
赋予	120	动词
人际关系	120	习用语
收集	120	动词
一度	120	数量词
恋爱	120	动词
确定性	120	名词
累	120	形容词
市	120	名词
脑海中	120	习用语
好多	120	数词
官方	120	名词
小小的	120	状态词
句子	119	名词
明星	119	名词
为例	119	介词
为例	119	动词
咖啡	119	名词
女生	119	名词
推理	119	动词
小程序	119	字符串
全新	119	副词
以此	119	连词
小心	119	名词
问问	119	名词
选题	119	名词
奋斗	119	动词
看书	118	动词
意志	118	名词
扩张	118	动词
敌人	118	名词
第一步	118	数词
印度	118	名词
敢	118	动词
动态	118	名词
胜利	118	动词
且慢	118	习用语
定价	118	名词
卡片	118	名词
部	118	名词
破坏	118	动词
上限	117	动词
精确	117	形容词
亏	117	动词
形态	117	名词
冒险	117	名词
题目	117	名词
没错	117	动词
咨询师	117	名词
恢复	117	动词
没关系	117	习用语
千万	117	数词
长久	117	副词
负	117	动词
戳	117	动词
一座	117	数词
负责人	117	名词
喊	117	动词
起点	117	名词
脑子里	117	名词
少年	117	数词
受益	117	动词
延迟	117	动词
口罩	117	名词
初阳	117	时间词
要说	116	连词
主持人	116	名词
滴滴	116	名词
绝望	116	动词
同理	116	名词
拖延	116	动词
创造力	116	名词
顺利	116	形容词
版权	116	名词
入	116	动词
挑选	116	动词
安慰	116	动词
什	116	代词
出售	116	动词
文明	116	名词
抑郁	116	形容词
写过	116	动词
写过	116	助词
枷锁	116	名词
黑	115	形容词
资	115	名词
缺点	115	名词
gdp	115	英文
光	115	名词
高质量	115	名词
网友	115	名词
这段	115	代词
这段	115	量词
争论	115	动词
佛学	115	名词
李松蔚	115	名词
偶然	114	副词
愿望	114	动词
担忧	114	动词
借钱	114	动词
脱离	114	动词
剧本	114	名词
无比	114	动词
特	114	副词
当天	114	时间词
在乎	114	动词
医疗	114	名词
伦敦	114	名词
苏轼	114	名词
缺陷	113	动词
储蓄	113	名词
想一想	113	成语
商家	113	名词
踩	113	状态词
自主	113	动词
安	113	动词
评判	113	动词
m	113	字符串
运作	113	动词
手上	113	处所词
一门	113	数词
盖茨	113	名词
单一	112	区别词
狗	112	名词
幻觉	112	名词
含义	112	名词
高估	112	动词
wil	112	英文
招	112	动词
在生活中	112	习用语
了不起	112	动词
工人	112	名词
加速	112	动词
创建	111	动词
干脆	111	副词
一会儿	111	数词
今日	111	时间词
占据	111	动词
终极	111	名词
走进	111	动词
比喻	111	名词
开头	111	动词
起到	111	动词
转换	111	动词
请问	111	动词
偷拍	111	动词
然	110	连词
看好	110	动词
某种程度	110	动词
觉	110	动词
一批	110	数词
打交道	110	动词
善于	110	动词
写道	110	动词
大事	110	名词
宝贵	110	名词
有意识	110	习用语
work	110	英文
写出	110	动词
效能	110	名词
事项	110	名词
五个	109	数词
单独	109	副词
激发	109	动词
全是	109	形容词
全是	109	动词
自觉	109	副词
现有	109	区别词
默认	109	动词
抄	109	动词
全球化	109	名词
抢	109	动词
简历	109	动词
有助于	109	动词
弄	109	动词
高端	109	名词
罗永浩	109	名词
亲密	109	形容词
把握	109	动词
恐慌	109	形容词
病人	109	名词
潜意识	109	名词
得以	108	动词
看重	108	动词
多人	108	数词
多人	108	名词
阿姨	108	名词
广州	108	名词
国外	108	处所词
尴尬	108	形容词
英雄	108	名词
变现	108	动词
已有	108	动词
负担	108	动词
公众	108	名词
干什么	108	习用语
合集	108	动词
停下来	107	动词
短暂	107	形容词
世界观	107	名词
下班	107	动词
things	107	英文
结	107	名词
交给	107	动词
农村	107	名词
激情	107	名词
持	107	动词
不难	107	副词
偏差	107	名词
列	107	动词
根源	107	名词
程序	107	名词
权	107	名词
伯利	107	名词
份	106	量词
炒股	106	动词
超	106	动词
崛起	106	动词
向上	106	副词
绝大部分	106	数词
夏天	106	时间词
酒店	106	名词
小事	106	名词
场合	106	名词
接收	106	动词
引入	106	动词
一方	106	数词
女	106	区别词
后续	106	动词
路线	106	名词
脱口秀	106	成语
奖励	106	动词
实力	106	名词
转向	106	动词
协作	106	动词
词汇	106	名词
有知	106	动词
分成	105	动词
天下	105	处所词
两天	105	数词
弱点	105	名词
受欢迎	105	动词
最多	105	副词
最多	105	数词
通胀	105	简称略语
挖掘	105	动词
成就感	105	习用语
梳理	105	动词
文件	105	名词
下方	105	方位词
计算机	105	名词
说出	105	动词
角度看	105	动词
学术	105	名词
想象力	105	名词
源于	105	动词
无常	105	副词
王德宸	105	名词
不该	104	动词
生物	104	名词
频率	104	名词
沮丧	104	形容词
共享	104	动词
奥运会	104	简称略语
设计师	104	名词
安静	104	名词
伴随	104	动词
没想到	104	习用语
二是	104	数词
二是	104	动词
想过	104	动词
想过	104	助词
漂亮	104	形容词
隐藏	104	动词
忍受	104	动词
跟随	104	动词
均	104	副词
办公	104	名词
人有	104	名词
人有	104	动词
张一鸣	104	名词
画面	104	名词
权威	104	名词
patagonia	104	英文
最大化	103	名词
思	103	名词
上学	103	名词
弟弟	103	名词
宣传	103	动词
勤奋	103	形容词
梦	103	名词
警惕	103	动词
攻击	103	动词
报	103	名词
集团	103	名词
眼光	103	名词
正向	103	副词
人能	103	名词
book	103	英文
临时	103	区别词
面积	103	名词
攀岩	103	名词
空	102	名词
惊人	102	形容词
通	102	动词
秩序	102	名词
最为	102	副词
人民币	102	名词
一刻	102	数词
薪水	102	名词
一堆	102	数词
多久	102	数词
延伸	102	动词
这部分	102	数量词
表	102	动词
音频	102	名词
修改	102	动词
任天堂	102	名词
西方	102	处所词
试试	101	动词
途径	101	名词
总体	101	名词
忍不住	101	动词
赶紧	101	副词
批判	101	动词
追逐	101	动词
身处	101	处所词
刻意	101	动词
脸	101	名词
观看	101	动词
